ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
953,Verifying an Alien Dictionary,54.1%,Easy,3.672929743430384, https://leetcode.com/problems/verifying-an-alien-dictionary
1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,3.495670386899169, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
973,K Closest Points to Origin,63.8%,Medium,3.3184110303679546, https://leetcode.com/problems/k-closest-points-to-origin
238,Product of Array Except Self,60.1%,Medium,3.283232213950597, https://leetcode.com/problems/product-of-array-except-self
301,Remove Invalid Parentheses,43.3%,Hard,3.2812706407880663, https://leetcode.com/problems/remove-invalid-parentheses
680,Valid Palindrome II,36.6%,Easy,3.271459420826784, https://leetcode.com/problems/valid-palindrome-ii
560,Subarray Sum Equals K,43.9%,Medium,3.2328873827137383, https://leetcode.com/problems/subarray-sum-equals-k
273,Integer to English Words,27.1%,Hard,3.055628026182524, https://leetcode.com/problems/integer-to-english-words
269,Alien Dictionary,33.3%,Hard,2.878368669651309, https://leetcode.com/problems/alien-dictionary
415,Add Strings,47.5%,Easy,2.7192844822779243, https://leetcode.com/problems/add-strings
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,2.5420251257467097, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
124,Binary Tree Maximum Path Sum,34.3%,Hard,2.524435338510988, https://leetcode.com/problems/binary-tree-maximum-path-sum
297,Serialize and Deserialize Binary Tree,47.5%,Hard,2.491660542713749, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
199,Binary Tree Right Side View,54.1%,Medium,2.4876454517631963, https://leetcode.com/problems/binary-tree-right-side-view
438,Find All Anagrams in a String,43.3%,Medium,2.397524297872021, https://leetcode.com/problems/find-all-anagrams-in-a-string
211,Add and Search Word - Data structure design,38.1%,Medium,2.3759545223677563, https://leetcode.com/problems/add-and-search-word-data-structure-design
278,First Bad Version,35.7%,Easy,2.1986951658365417, https://leetcode.com/problems/first-bad-version
523,Continuous Subarray Sum,24.6%,Medium,2.166716009367632, https://leetcode.com/problems/continuous-subarray-sum
23,Merge k Sorted Lists,40.2%,Hard,2.1408121493810057, https://leetcode.com/problems/merge-k-sorted-lists
125,Valid Palindrome,36.7%,Easy,2.10463501498305, https://leetcode.com/problems/valid-palindrome
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,2.0376808407812037, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
173,Binary Search Tree Iterator,56.6%,Medium,2.0078306132610235, https://leetcode.com/problems/binary-search-tree-iterator
67,Add Binary,45.2%,Easy,2.000688443737229, https://leetcode.com/problems/add-binary
